Id;Designator;Package;Quantity;Designation;Supplier and ref;wpisano;;;;;;;;;
264;100k;CRCW0805100KFKTABC VISHAY;;0,0845;8,45;;https://www.tme.eu/pl/details/crcw0805100kfktabc/rezystory-smd-0805/vishay/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM19;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
265;10k;RC0805FR-0710KL YAGEO;;0,061;6,1;;https://www.tme.eu/pl/details/rc0805fr-0710k/rezystory-smd-0805/yageo/rc0805fr-0710kl/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM20;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
266;100R;RC0805FR-07100RL YAGEO;;0,0665;6,65;;https://www.tme.eu/pl/details/rc0805fr-07100r/rezystory-smd-0805/yageo/rc0805fr-07100rl/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM21;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
267;47k;0805S8F4702T5E ROYAL OHM;;0,0517;5,17;;https://www.tme.eu/pl/details/smd0805-47k-1%25/rezystory-smd-0805/royal-ohm/0805s8f4702t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM22;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
268;180k;0805S8F1803T5E ROYAL OHM;;0,077;7,7;;https://www.tme.eu/pl/details/smd0805-180k-1%25/rezystory-smd-0805/royal-ohm/0805s8f1803t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM23;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
269;R120;0805S8F1200T5E ROYAL OHM;;0,077;7,7;;https://www.tme.eu/pl/details/smd0805-120r-1%25/rezystory-smd-0805/royal-ohm/0805s8f1200t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM24;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
270;900K;0805S8F9093T5E ROYAL OHM;;0,0857;8,57;;https://www.tme.eu/pl/details/smd0805-909k-1%25/rezystory-smd-0805/royal-ohm/0805s8f9093t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM25;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
271;1k;0805S8F1001T5E ROYAL OHM;;0,0636;6,36;;https://www.tme.eu/pl/details/smd0805-1k-1%25/rezystory-smd-0805/royal-ohm/0805s8f1001t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM26;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
272;220R;0805S8F2200T5E ROYAL OHM;;0,0715;7,15;;https://www.tme.eu/pl/details/smd0805-220r-1%25/rezystory-smd-0805/royal-ohm/0805s8f2200t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM27;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
273;10R;0805S8F100JT5E ROYAL OHM;;0,077;7,7;;https://www.tme.eu/pl/details/smd0805-10r-1%25/rezystory-smd-0805/royal-ohm/0805s8f100jt5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM28;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
274;2k;0805S8F2001T5E ROYAL OHM;;0,0715;7,15;;https://www.tme.eu/pl/details/smd0805-2k-1%25/rezystory-smd-0805/royal-ohm/0805s8f2001t5e/;Potrzeba do wykonania uk³¹du PDM;100;;Faza wykonawcza PM29;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
275;Stabilizator napiecia 3v3;LM1117IMPX-3.3/NOPB TEXAS INSTRUMENTS;;4,75;23,75;;https://www.tme.eu/pl/details/lm1117impx-3.3_nop/stabilizatory-napiecia-nieregulowane-ldo/texas-instruments/lm1117impx-3-3-nopb/;Potrzeba do wykonania uk³¹du PDM;5;;Faza wykonawcza PM30;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
276;Transoptor;TLP291(GB.SE(T TOSHIBA;;0,816;8,16;;https://www.tme.eu/pl/details/tlp291-gb.se-t/transoptory-wyjscie-analogowe/toshiba/tlp291-gb-se-t/;Potrzeba do wykonania uk³¹du PDM;10;;Faza wykonawcza PM31;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
277;Z³¹cze usb;10033526-N3212MLF AMPHENOL;;2,964;5,928;;https://www.tme.eu/pl/details/10033526-n3212mlf_/zlacza-usb-i-ieee1394/amphenol/10033526-n3212mlf/;Potrzeba do wykonania uk³¹du PDM;2;;Faza wykonawcza PM32;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
278;Z³¹cze karty sd;DM3AT-SF-PEJM5 HIROSE;;5,09;10,18;;https://www.tme.eu/pl/details/dm3at-sf-pejm5_c/zlacza-do-kart/hirose/dm3at-sf-pejm5/;Potrzeba do wykonania uk³¹du PDM;2;Minimalna ilosc zamowienia;Faza wykonawcza PM33;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
279;bezpiecznik PTC - 200mA;0ZCJ0025AF2E BEL FUSE;;0,53;2,65;;https://www.tme.eu/pl/details/0zcj0025af2e/bezpieczniki-polimerowe-smd/bel-fuse/;Potrzeba do wykonania uk³¹du PDM;5;;Faza wykonawcza PM34;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
280;Zener 30V;MMSZ5256B DIOTEC SEMICONDUCTOR;;0,1564;0,1564;;https://www.tme.eu/pl/details/mmsz5256b-dio/diody-zenera-smd/diotec-semiconductor/mmsz5256b/;Potrzeba do wykonania uk³¹du PDM;1;(minimalna ilosc zamowienia to 25);Faza wykonawcza PM35;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
281;Schottky;SK16 DC COMPONENTS;;0,369;3,69;;https://www.tme.eu/pl/details/sk16/diody-schottky-smd/dc-components/;Potrzeba do wykonania uk³¹du PDM;10;;Faza wykonawcza PM36;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
282;Z³¹cze baterii;103 KEYSTONE;;8,57;8,57;;https://www.tme.eu/pl/details/keys103/baterie-pojemniki-i-uchwyty/keystone/103/;Potrzeba do wykonania uk³¹du PDM;1;;Faza wykonawcza PM37;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
283;Koralik ferrytowy VDDA;BLM18AG102SH1D MURATA;;0,0874;4,37;;https://www.tme.eu/pl/details/blm18ag102sh1d/ferryty-koraliki/murata/;Potrzeba do wykonania uk³¹du PDM;50;min50;Faza wykonawcza PM38;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
284;LED RED;RF-RUB170TS-BD REFOND;;0,304;3,04;;https://www.tme.eu/pl/details/rf-rub170ts-bd/diody-led-smd-kolorowe/refond/;Potrzeba do wykonania uk³¹du PDM;10;;Faza wykonawcza PM39;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
285;PCB;;;10$;;;JLCPCB;Potrzeba do wykonania uk³¹du PDM;1;;;;;;
